,0
97683425,64
62897345,64
54273689,64
93546782,64
34529687,64
76542389,64
89574623,64
98467532,64
58234976,64
76283954,64
94237685,64
26459873,64
32584976,64
46327598,64
47328956,64
54739826,64
59674823,64
43528679,64
24537896,64
67543298,64
43527896,64
74239865,64
23856794,64
42536897,64
34258769,64
23475689,64
58239476,64
29453867,64
28549376,64
49237658,64
63452789,64
76932854,64
48762395,64
94762385,64
89724563,64
53426897,64
58672349,64
23854967,64
54279863,64
53248697,64
59674832,64
32476598,64
89463257,64
76589423,64
83456792,64
86972543,64
62987354,64
72546389,64
96784352,64
58762349,64
46327589,64
79684325,64
52347968,64
49762358,64
96782435,64
63897254,64
67493258,64
35248697,64
96872543,64
82674539,64
67542398,64
92675438,64
74325689,64
35426879,64
98263745,64
64239875,64
37456298,64
28453967,64
45376289,64
92456738,64
28457693,64
45276389,64
36457298,64
98563274,64
43526978,64
53427869,64
78693542,64
32657489,64
98452367,64
98623745,64
89374562,64
32954867,64
23567498,64
26985473,64
89753246,64
47983256,64
34257986,64
46238957,64
52439768,64
76825493,64
74236589,64
82456739,64
54298376,64
32958467,64
45369872,64
35247986,64
32854967,64
32597684,64
98234567,64
67923845,64
34527986,64
67234598,64
79685324,64
28543967,64
98756423,64
78694325,64
47893265,64
68974235,64
39456728,64
47982365,64
98637254,64
93548276,64
83452976,64
35429786,64
53249768,64
63452798,64
96873452,64
93764582,64
62894573,64
32768945,64
63985427,64
54389267,64
59768423,64
28679354,64
89475632,64
42537968,64
84672359,64
54672389,64
42538679,64
32956748,64
27453689,64
63457298,64
67824539,64
54287693,64
59768432,64
67854923,64
72543698,64
89642357,64
98372654,64
97685234,64
32948567,64
54378926,64
98465723,64
43527986,64
98657423,64
98236745,64
54389276,64
37896254,64
74329856,64
79684352,64
36892745,64
98652374,64
59762384,64
47235689,64
29458367,64
29456783,64
96874325,64
23584967,64
53426978,64
82547639,64
93458267,64
64325798,64
45769832,64
96785342,64
85324967,64
73986245,64
45372698,64
45728936,64
67932854,64
63458972,64
75326498,64
98743256,64
76394582,64
23568947,64
67842395,64
32586749,64
23678945,64
83679245,64
25438796,64
43256897,64
65327489,64
54639872,64
74986532,64
36542798,64
83679254,64
29764583,64
89367254,64
74236598,64
52436879,64
98653274,64
76498532,64
35428697,64
23849567,64
43529678,64
62543798,64
98574623,64
84327659,64
59234876,64
47239865,64
37548962,64
76843295,64
82546793,64
98234576,64
65239874,64
49765832,64
75984632,64
62549873,64
38675492,64
24538679,64
23946785,64
89376245,64
32574689,64
84235967,64
32654789,64
59234867,64
74985623,64
58329476,64
45937628,64
69873542,64
45398276,64
36452798,64
95678432,64
89465723,64
23764598,64
58679423,64
62987345,64
54392876,64
89654723,64
85327649,64
67843259,64
45268937,64
57236498,64
45632798,64
25349786,64
23985476,64
72543689,64
76954832,64
95237684,64
23896754,64
38769254,64
64235798,64
54286739,64
23895467,64
27895463,64
32849567,64
67392854,64
89543276,64
98645732,64
59764832,64
23587694,64
64983257,64
89723645,64
98572346,64
89236754,64
46235798,64
48326795,64
49672358,64
54928367,64
85672394,64
53247896,64
26985437,64
85763249,64
54386729,64
98237645,64
57892346,64
95673248,64
37894526,64
45627389,64
54987632,64
39762854,64
52348796,64
